N,X,Y,H
1,36.3856099918485,55.1987266167998,213.07
2,36.3855708483607,55.1985723059624,212.59
3,36.3854363188147,55.1984394527972,213.07
4,36.3853776454925,55.198251446709,213.07
5,36.3853253424168,55.1980594173074,213.07
6,36.385281085968,55.1978466846049,213.55
7,36.385246720165,55.1976265758276,214.03
8,36.3851307146251,55.1974538248032,214.03
9,36.3850567024201,55.1974086463451,214.03
10,36.3848350010812,55.1973488833755,213.55
11,36.3846998848021,55.1973246596754,212.59
12,36.3847345858812,55.1972860191017,213.55
13,36.3847275450826,55.1972668245435,213.07
14,36.3847571332008,55.1972373202443,213.07
15,36.3847594801337,55.1972752902657,212.59
16,36.3847361784428,55.1972714345902,212.11
17,36.3847216777503,55.1972449477762,213.07
18,36.3847041595727,55.1972479652613,213.07
19,36.3847246114165,55.1972263399512,213.07
20,36.3847303949296,55.197231117636,212.59
21,36.3847052492201,55.1972151920199,212.59
22,36.3847153075039,55.1972241606563,212.11
23,36.3847220130265,55.1971908845007,212.11
24,36.3847096916288,55.1972110848874,212.11
25,36.3846564665437,55.1972275134176,212.11
26,36.3846850488335,55.1972250826657,211.63
27,36.38467323035,55.1972116716206,211.63
28,36.3846990466118,55.1972188800573,212.11
29,36.3846956100315,55.1972214784473,212.11
30,36.3846712186933,55.1972081512213,212.11
31,36.3846670277417,55.1972123421729,211.63
32,36.3846606574953,55.1972016971558,212.11
33,36.3846398703754,55.1971948239952,212.11
34,36.3847281318158,55.1972121745348,211.63
35,36.3847295567393,55.1972113363445,211.15
36,36.3847349211574,55.1972110848874,211.15
37,36.3847099430859,55.1972161978483,211.15
38,36.3847401179373,55.1972209755331,211.15
39,36.3847324065864,55.197223322466,211.15
40,36.3847413752228,55.1972053013742,210.67
41,36.3847493380308,55.1972069777548,210.67
42,36.384749840945,55.1972067262977,210.67
43,36.3847359269857,55.1972247473896,210.19
44,36.3847243599594,55.1972286868841,209.7
45,36.3847476616502,55.1972264237702,209.7
46,36.3847420457751,55.1972329616547,209.22
47,36.3847422972322,55.197228435427,209.22
48,36.384741961956,55.1972260884941,208.74
49,36.3847112841904,55.1972191315144,209.22
50,36.3847213424742,55.1972321234644,208.74
51,36.3847719691694,55.1972238253802,209.22
52,36.3847922533751,55.1972200535238,208.74
53,36.3847685325891,55.1972223166376,208.26
54,36.3847439736128,55.1972265075892,208.26
55,36.3847583066672,55.1972229871899,208.26
56,36.3847436383367,55.197236565873,207.78
57,36.3847256172448,55.1972225680947,207.78
58,36.3847053330392,55.1972218975425,207.78
59,36.3847262039781,55.1972310338169,207.78
60,36.3847469072789,55.1972156111151,207.78
61,36.3847380224615,55.1972254179418,207.3
62,36.3847450632602,55.1972080674022,206.82
63,36.3847279641777,55.1972281839699,206.82
64,36.38472343795,55.1972303632647,206.82
65,36.3846991304308,55.1972213946283,206.82
66,36.3847364298999,55.1972374878824,206.82
67,36.3847034890205,55.1972293574363,206.82
68,36.3846921734512,55.1972407568246,206.82
69,36.3846904970706,55.1972356438637,206.82
70,36.3847159780562,55.1972386613488,206.82
71,36.384723270312,55.1972436066717,206.82
72,36.3847355917096,55.1972213108093,206.82
73,36.3847083505243,55.1972161140293,206.34
74,36.3846973702312,55.1972063072026,206.34
