N,X,Y,H
1,36.3831416051835,55.2097478974611,130.4
2,36.383142862469,55.2097625657916,128.95
3,36.3832008652389,55.2099659107625,129.43
4,36.3832120969892,55.2100107539445,125.11
5,36.383214276284,55.210017291829,133.28
6,36.3832504861057,55.2100684214383,129.92
7,36.3833079859614,55.210191635415,129.92
8,36.3833534158766,55.2102844230831,130.88
9,36.3834306970239,55.2104941383004,131.36
10,36.3834366481751,55.2106035221368,133.28
11,36.3834344688803,55.2106105629355,132.8
12,36.3834180403501,55.2106738463044,134.72
13,36.3835835829377,55.2107026800513,136.16
14,36.3838001713157,55.2107290830463,138.09
15,36.3839007541537,55.2107798773795,139.05
16,36.3839523866773,55.2109170891345,141.45
17,36.3839994929731,55.2110423147678,142.41
18,36.3841139897704,55.2111605834216,144.34
19,36.3841480202973,55.211187992245,144.82
20,36.3841910194606,55.2112443186343,145.3
21,36.3841846492141,55.2113634254783,146.74
22,36.3840922806412,55.2113956958055,146.74
23,36.3839590083808,55.2114485856146,147.7
24,36.3839097227901,55.2115455642343,148.18
25,36.3839420769364,55.2116525173187,149.14
26,36.3840279914439,55.2118517551571,149.62
27,36.3840978965163,55.2120192255825,150.58
28,36.3841931987554,55.2121944073588,151.54
29,36.3842320069671,55.2123116701841,152.03
30,36.384226642549,55.2124524023384,152.51
31,36.3841755967587,55.2126119937748,152.51
32,36.3840009178966,55.2127298433334,153.47
33,36.3837478682399,55.2128249779344,153.95
34,36.3834407553077,55.2129398938268,154.43
35,36.3831507414579,55.2130623534322,154.43
36,36.3828826881945,55.2131604216993,154.91
37,36.3826070912182,55.2132902573794,154.43
38,36.3823336735368,55.2134490106255,154.43
39,36.3823195919394,55.2135834563524,154.43
40,36.3823545444757,55.2136873919517,154.91
41,36.3823683746159,55.2138246037066,155.39
42,36.3823699671775,55.2138800919056,155.39
43,36.382395029068,55.2141035534441,156.35
44,36.3824133016169,55.2142783999443,156.35
45,36.382469125092,55.2144569344819,157.31
46,36.3824774231762,55.2145881112665,157.79
47,36.3824990484864,55.2147513069212,159.24
48,36.3825423829257,55.2149481140077,160.2
49,36.3825854659081,55.2151509560645,161.64
50,36.3825973682105,55.2153013274074,162.6
51,36.3826030679047,55.2154198475182,163.08
52,36.3826073426753,55.2155526168644,164.52
53,36.3826289679855,55.215681027621,165.96
54,36.3826517667621,55.2158188261092,167.41
55,36.3826659321785,55.215961067006,168.85
56,36.3826570473611,55.2161271125078,169.81
57,36.3826416246593,55.2162665873766,170.29
58,36.3826110307127,55.2164212334901,171.25
59,36.3825900759548,55.2165682520717,171.25
60,36.382540455088,55.2167252451181,170.77
61,36.3824645150453,55.2168565057218,170.77
